draw,date,n1,n2,n3,n4,n5,n6,jackpot
321,2018-08-10,18,22,24,29,41,45,0
322,2018-08-12,5,16,17,28,31,38,0
323,2018-08-15,12,24,25,33,40,44,0
324,2018-08-17,3,8,22,28,33,42,0
325,2018-08-19,16,18,28,36,37,45,0
326,2018-08-22,15,17,18,33,34,44,0
327,2018-08-24,3,22,25,29,33,40,0
328,2018-08-26,1,3,11,12,22,36,0
329,2018-08-29,16,17,24,28,30,36,0
330,2018-08-31,11,19,30,36,38,40,0
331,2018-09-02,10,12,13,22,26,40,0
332,2018-09-05,5,6,22,27,34,37,0
333,2018-09-07,8,10,11,28,42,45,0
334,2018-09-09,8,14,18,21,44,45,0
335,2018-09-12,11,12,13,16,29,31,0
336,2018-09-14,12,16,17,18,26,34,0
337,2018-09-16,3,13,17,18,23,34,0
338,2018-09-19,10,20,22,24,27,42,0
339,2018-09-21,1,3,11,14,23,29,0
340,2018-09-23,18,27,32,35,41,44,0
341,2018-09-26,12,19,27,39,42,45,0
342,2018-09-28,2,6,11,13,15,38,0
343,2018-09-30,1,20,24,36,43,45,0
344,2018-10-03,6,12,19,21,25,45,0
345,2018-10-05,4,12,17,29,35,44,0
346,2018-10-07,14,18,31,34,39,44,0
347,2018-10-10,18,19,22,28,41,42,0
348,2018-10-12,11,12,20,26,28,42,0
349,2018-10-14,7,8,9,34,40,43,0
350,2018-10-17,1,12,14,36,39,43,0
351,2018-10-19,2,14,30,38,39,45,0
352,2018-10-21,6,22,24,28,30,37,0
353,2018-10-24,6,26,34,35,39,42,0
354,2018-10-26,2,18,31,33,36,41,0
355,2018-10-28,9,18,19,20,31,45,0
356,2018-10-31,17,22,26,30,33,35,0
357,2018-11-02,4,6,11,18,24,25,0
358,2018-11-04,7,12,13,17,25,30,0
359,2018-11-07,6,18,22,25,31,37,0
360,2018-11-09,6,18,28,32,34,35,0
361,2018-11-11,20,23,26,27,32,34,0
362,2018-11-14,12,14,24,26,30,40,0
363,2018-11-16,4,12,18,21,25,41,0
364,2018-11-18,6,27,28,30,37,44,0
365,2018-11-21,7,9,16,19,24,33,0
366,2018-11-23,8,10,12,21,25,40,0
367,2018-11-25,3,5,11,18,24,29,0
368,2018-11-28,8,13,20,21,25,28,0
369,2018-11-30,11,18,23,25,28,35,0
370,2018-12-02,2,4,12,23,37,45,0
371,2018-12-05,7,28,29,39,42,45,0
372,2018-12-07,1,6,7,22,31,39,0
373,2018-12-09,6,8,26,34,40,41,0
374,2018-12-12,1,3,11,15,27,30,0
375,2018-12-14,7,16,20,26,30,34,0
376,2018-12-16,1,14,22,26,35,42,0
377,2018-12-19,2,10,11,32,40,44,0
378,2018-12-21,1,7,16,27,29,34,0
379,2018-12-23,1,3,10,11,16,44,0
380,2018-12-26,21,28,34,35,41,44,0
381,2018-12-28,3,22,24,25,31,37,0
382,2018-12-30,10,19,31,35,42,44,0
383,2019-01-02,4,14,32,35,36,40,0
384,2019-01-04,1,8,14,16,19,22,0
385,2019-01-06,9,22,33,34,35,44,0
386,2019-01-09,17,27,28,30,33,41,0
387,2019-01-11,19,21,22,23,25,44,0
388,2019-01-13,1,20,21,23,26,33,0
389,2019-01-16,1,8,14,24,31,40,0
390,2019-01-18,12,15,19,38,40,45,0
391,2019-01-20,8,16,21,31,35,38,0
392,2019-01-23,2,9,13,29,33,40,0
393,2019-01-25,11,13,14,22,30,38,0
394,2019-01-27,9,11,12,22,27,29,0
395,2019-01-30,1,4,6,13,37,41,0
396,2019-02-01,3,4,6,38,39,43,0
397,2019-02-03,1,2,5,9,23,24,0
398,2019-02-06,22,24,25,30,33,38,0
399,2019-02-08,11,12,33,36,39,43,0
400,2019-02-10,1,11,17,25,29,35,0
401,2019-02-13,5,11,18,33,37,41,0
402,2019-02-15,3,22,26,27,30,44,0
403,2019-02-17,11,12,14,25,29,31,0
404,2019-02-20,1,10,15,24,37,45,0
405,2019-02-22,7,10,18,25,44,45,0
406,2019-02-24,1,7,13,23,32,42,0
407,2019-02-27,5,12,15,16,25,35,0
408,2019-03-01,15,23,29,31,38,43,0
409,2019-03-03,1,13,17,20,30,45,0
410,2019-03-06,2,7,14,24,40,41,0
411,2019-03-08,4,14,20,27,32,43,0
412,2019-03-10,5,24,31,32,42,45,0
413,2019-03-13,5,16,24,26,34,44,0
414,2019-03-15,5,10,15,19,38,42,0
415,2019-03-17,5,6,16,18,24,42,0
416,2019-03-20,2,7,17,24,29,37,0
417,2019-03-22,1,3,6,13,18,41,0
418,2019-03-24,5,17,21,27,34,40,0
419,2019-03-27,9,12,22,24,30,42,0
420,2019-03-29,2,19,26,27,30,37,0
421,2019-03-31,3,5,19,28,31,38,0
422,2019-04-03,4,11,18,33,34,45,0
423,2019-04-05,2,7,25,36,38,43,0
424,2019-04-07,8,10,26,28,32,34,0
425,2019-04-10,7,11,14,30,35,42,0
426,2019-04-12,3,12,15,16,17,44,0
427,2019-04-14,4,13,20,34,35,37,0
428,2019-04-17,7,11,21,25,30,44,0
429,2019-04-19,1,4,5,12,17,21,0
430,2019-04-21,8,11,13,20,41,43,0
431,2019-04-24,4,7,12,13,20,45,0
432,2019-04-26,1,2,14,15,16,30,0
433,2019-04-28,4,24,28,30,33,43,0
434,2019-05-01,18,23,24,27,33,41,0
435,2019-05-03,1,6,14,31,35,44,0
436,2019-05-05,13,27,30,38,39,41,0
437,2019-05-08,1,7,8,31,34,45,0
438,2019-05-10,5,23,25,30,35,38,0
439,2019-05-12,1,8,13,17,21,43,0
440,2019-05-15,17,28,29,33,34,35,0
441,2019-05-17,6,16,18,29,39,43,0
442,2019-05-19,2,11,19,27,30,42,0
443,2019-05-22,1,13,16,22,23,35,0
444,2019-05-24,2,3,31,33,35,40,0
445,2019-05-26,11,12,14,23,29,32,0
446,2019-05-29,12,18,19,27,35,42,0
447,2019-05-31,5,6,7,12,23,30,0
448,2019-06-02,2,5,12,35,41,43,0
449,2019-06-05,4,8,22,25,37,39,0
450,2019-06-07,11,13,15,26,27,41,0
451,2019-06-09,2,6,22,25,35,36,0
452,2019-06-12,10,11,21,23,26,37,0
453,2019-06-14,2,12,16,36,37,45,0
454,2019-06-16,6,7,19,29,31,36,0
455,2019-06-19,2,4,11,15,35,40,0
456,2019-06-21,1,4,19,21,23,39,0
457,2019-06-23,3,8,11,27,32,36,0
458,2019-06-26,1,5,9,10,33,41,0
459,2019-06-28,11,25,37,40,41,45,0
460,2019-06-30,5,20,22,25,28,32,0
461,2019-07-03,2,7,25,29,39,45,0
462,2019-07-05,19,21,30,31,37,43,0
463,2019-07-07,2,18,21,23,30,31,0
464,2019-07-10,1,2,6,7,16,27,0
465,2019-07-12,16,18,24,26,40,44,0
466,2019-07-14,2,3,7,25,33,34,0
467,2019-07-17,10,11,16,22,28,35,0
468,2019-07-19,9,12,23,26,28,43,0
469,2019-07-21,7,8,10,24,33,44,0
470,2019-07-24,20,22,25,39,44,45,0
471,2019-07-26,5,14,16,22,25,33,0
472,2019-07-28,5,14,16,24,42,43,0
473,2019-07-31,6,12,15,19,25,45,0
474,2019-08-02,11,18,20,22,25,26,0
475,2019-08-04,6,10,21,30,43,45,0
476,2019-08-07,1,5,13,31,32,43,0
477,2019-08-09,11,19,26,28,30,42,0
478,2019-08-11,1,4,7,9,25,31,0
479,2019-08-14,13,20,22,24,33,34,0
480,2019-08-16,6,14,15,19,31,39,0
481,2019-08-18,2,7,18,21,24,33,0
482,2019-08-21,6,8,17,20,21,31,0
483,2019-08-23,6,7,12,17,19,24,0
484,2019-08-25,7,8,15,20,24,31,0
485,2019-08-28,1,4,12,14,19,30,0
486,2019-08-30,5,6,22,23,25,44,0
487,2019-09-01,5,7,14,16,29,40,0
488,2019-09-04,1,9,11,23,30,37,0
489,2019-09-06,2,4,13,15,26,31,0
490,2019-09-08,6,9,11,26,28,36,0
491,2019-09-11,21,25,29,32,34,35,0
492,2019-09-13,2,15,17,25,30,38,0
493,2019-09-15,8,9,28,33,35,43,0
494,2019-09-18,3,9,13,17,19,20,0
495,2019-09-20,7,12,24,29,31,45,0
496,2019-09-22,3,6,21,36,38,39,0
497,2019-09-25,9,14,22,26,44,45,0
498,2019-09-27,6,9,11,28,37,44,0
499,2019-09-29,2,9,12,18,21,23,0
500,2019-10-02,2,6,7,25,28,41,0
501,2019-10-04,2,9,24,25,30,36,0
502,2019-10-06,1,6,17,30,44,45,0
503,2019-10-09,3,12,21,24,28,32,0
504,2019-10-11,6,12,14,27,28,36,0
505,2019-10-13,6,22,28,31,37,40,0
506,2019-10-16,1,4,23,28,41,42,0
507,2019-10-18,4,14,15,22,28,39,0
508,2019-10-20,1,3,8,15,38,40,0
509,2019-10-23,2,9,21,23,32,41,0
510,2019-10-25,4,7,9,22,32,37,0
511,2019-10-27,1,19,29,30,40,42,0
512,2019-10-30,2,5,8,12,29,38,0
513,2019-11-01,6,11,20,30,37,40,0
514,2019-11-03,28,30,32,38,44,45,0
515,2019-11-06,3,15,22,23,38,43,0
516,2019-11-08,4,16,19,30,32,44,0
517,2019-11-10,4,14,21,28,32,36,0
518,2019-11-13,17,19,24,30,31,40,0
519,2019-11-15,2,13,27,33,40,41,0
520,2019-11-17,6,7,14,31,39,44,0
521,2019-11-20,10,21,22,24,43,44,0
522,2019-11-22,1,9,10,19,30,38,0
523,2019-11-24,5,21,24,28,29,34,0
524,2019-11-27,3,5,13,19,20,33,0
525,2019-11-29,14,15,16,17,19,34,0
526,2019-12-01,3,14,16,27,31,35,0
527,2019-12-04,16,19,24,30,32,35,0
528,2019-12-06,2,20,26,35,43,45,0
529,2019-12-08,12,20,30,31,34,44,0
530,2019-12-11,1,2,8,27,29,39,0
531,2019-12-13,2,8,9,25,26,40,0
532,2019-12-15,3,13,15,16,22,36,0
533,2019-12-18,8,9,12,19,22,25,0
534,2019-12-20,1,9,16,27,38,45,0
535,2019-12-22,9,10,11,18,22,36,0
536,2019-12-25,10,18,25,26,36,43,0
537,2019-12-27,2,7,10,12,33,43,0
538,2019-12-29,7,12,21,24,35,43,0
539,2020-01-01,8,10,23,26,37,38,0
540,2020-01-03,1,15,17,26,32,44,0
541,2020-01-05,5,11,12,26,44,45,0
542,2020-01-08,2,4,10,21,25,43,0
543,2020-01-10,10,18,24,35,41,43,0
544,2020-01-12,7,12,17,21,35,45,0
545,2020-01-15,2,8,19,31,38,44,0
546,2020-01-17,8,26,28,37,40,42,0
547,2020-01-19,1,4,19,25,35,39,0
548,2020-01-22,1,15,16,34,36,42,0
549,2020-01-26,4,5,9,25,33,37,0
550,2020-01-29,3,10,16,24,39,44,0
551,2020-01-31,8,9,20,25,30,40,0
552,2020-02-02,1,4,16,32,35,38,0
553,2020-02-05,9,19,24,37,38,45,0
554,2020-02-07,6,11,15,33,40,44,0
555,2020-02-09,1,4,18,22,26,35,0
556,2020-02-12,5,13,16,20,24,35,0
557,2020-02-14,4,14,24,32,36,43,0
558,2020-02-16,1,4,14,36,37,41,0
559,2020-02-19,1,16,23,25,30,38,0
560,2020-02-21,13,15,22,28,29,41,0
561,2020-02-23,1,6,16,23,34,42,0
562,2020-02-26,2,10,12,20,24,39,0
563,2020-02-28,2,19,23,27,29,38,0
564,2020-03-01,1,6,7,13,26,39,0
565,2020-03-04,1,7,17,24,35,41,0
566,2020-03-06,6,9,10,16,26,42,0
567,2020-03-08,3,13,17,19,21,43,0
568,2020-03-11,12,16,29,35,37,44,0
569,2020-03-13,8,13,20,28,35,45,0
570,2020-03-15,4,7,11,17,19,31,0
571,2020-03-18,6,21,30,37,38,45,0
572,2020-03-20,8,23,29,37,39,44,0
573,2020-03-22,2,10,19,22,24,29,0
574,2020-03-25,26,31,33,37,38,45,0
575,2020-03-27,1,6,10,35,36,45,0
576,2020-03-29,7,10,23,36,39,44,0
577,2020-04-24,10,31,37,39,40,43,0
578,2020-04-26,5,25,30,36,37,41,0
579,2020-04-29,1,8,11,13,15,32,0
580,2020-05-01,6,7,16,37,40,44,0
581,2020-05-03,5,18,29,32,38,44,0
582,2020-05-06,3,18,25,29,30,44,0
583,2020-05-08,1,3,7,12,22,25,0
584,2020-05-10,7,9,23,32,33,37,0
585,2020-05-13,6,20,21,35,40,45,0
586,2020-05-15,3,12,13,28,33,36,0
587,2020-05-17,2,4,21,30,33,37,0
588,2020-05-20,1,8,15,23,25,39,0
589,2020-05-22,3,8,19,28,35,41,0
590,2020-05-24,1,29,30,32,34,35,0
591,2020-05-27,6,15,29,30,37,42,0
592,2020-05-29,4,10,23,26,35,37,0
593,2020-05-31,1,6,13,27,35,40,0
594,2020-06-03,1,15,17,19,40,43,0
595,2020-06-05,10,13,22,28,38,43,0
596,2020-06-07,6,7,11,16,23,44,0
597,2020-06-10,2,11,23,25,26,35,0
598,2020-06-12,5,16,22,27,30,31,0
599,2020-06-14,19,22,24,41,44,45,0
600,2020-06-17,7,16,28,33,34,45,0
601,2020-06-19,4,12,17,19,32,45,0
602,2020-06-21,7,9,13,33,40,44,0
603,2020-06-24,7,17,18,32,39,40,0
604,2020-06-26,9,23,27,30,38,41,0
605,2020-06-28,4,15,24,36,37,41,0
606,2020-07-01,10,13,14,26,32,33,0
